customer_id,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST_00057,18,51.607768384326405,6674.679738333703,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,0
CUST_00058,44,82.69684345287166,2348.4210900253993,Two year,Bank transfer,DSL,Yes,Yes,No internet service,Yes,Yes,No,0
CUST_00059,34,100.8394882304023,2970.648347134972,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,No,Yes,1
CUST_00060,62,81.16464193899924,3769.6467789822113,Month-to-month,Credit card,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,0
CUST_00061,14,49.57475625950207,7833.544211434224,Month-to-month,Credit card,Fiber optic,Yes,No,No,No internet service,Yes,No,0
CUST_00062,48,45.574370154830035,1461.884699852154,One year,Electronic check,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,0
CUST_00063,15,52.7420958733448,2924.1165175858746,Two year,Credit card,Fiber optic,Yes,No internet service,No,No,No,No internet service,0
CUST_00064,62,36.462051323650485,5862.466142463448,Two year,Electronic check,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,0
CUST_00065,40,38.117185085002006,7715.1555007246525,Two year,Credit card,DSL,No internet service,Yes,Yes,No,Yes,No internet service,0
CUST_00066,53,99.06911019001679,1329.8341808374778,Month-to-month,Credit card,DSL,No internet service,No,No internet service,Yes,No,Yes,1
CUST_00067,24,58.4732576507445,1896.3016381353316,Two year,Electronic check,No,Yes,No internet service,No,No,Yes,Yes,0
CUST_00068,26,63.59951805705858,1882.9879276843988,Two year,Bank transfer,No,No internet service,Yes,Yes,Yes,No internet service,Yes,0
CUST_00069,60,79.40494655668113,265.36303298738073,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No,Yes,No,No,0
CUST_00070,41,78.96534951515477,4872.513437349501,Month-to-month,Mailed check,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,0
CUST_00071,29,26.73768715219257,5398.554285752561,Two year,Mailed check,DSL,Yes,No internet service,Yes,No internet service,Yes,No,0
CUST_00072,15,103.15407863376656,4859.954531989501,One year,Bank transfer,Fiber optic,No,No,Yes,No,No,No,0
CUST_00073,45,37.73265532239394,663.4516163612333,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,No,0
CUST_00074,65,92.30716360496689,646.9179933904904,One year,Electronic check,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,0
CUST_00075,71,97.26709881281666,1762.0537805035797,One year,Credit card,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,0
CUST_00076,9,91.48995340913137,2393.3266740214253,One year,Credit card,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,1
CUST_00077,1,77.89776465541452,6313.694881689375,One year,Credit card,No,No internet service,No,No,No internet service,No,Yes,0
CUST_00078,8,21.460899710888285,1359.1830994164768,Month-to-month,Credit card,No,No internet service,No internet service,No,No internet service,No,No internet service,1
CUST_00079,63,56.03754923631707,448.3285095405039,Two year,Mailed check,No,No,No internet service,No,No internet service,No,Yes,0
CUST_00080,11,80.48394293625812,3212.5013109331353,Two year,Mailed check,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,1
CUST_00081,8,58.74512959225387,3389.4981441211703,Month-to-month,Mailed check,Fiber optic,No,Yes,No,No internet service,Yes,Yes,1
CUST_00082,35,106.34798949128131,3662.1679716927383,Month-to-month,Electronic check,Fiber optic,No,No internet service,No,No,Yes,No internet service,0
CUST_00083,35,50.880227534961534,6632.537997813051,One year,Mailed check,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,0
CUST_00084,33,49.35347924586604,874.2427774804396,One year,Mailed check,Fiber optic,No,No,Yes,No,No internet service,No internet service,0
CUST_00085,5,46.599769309265795,5661.142451133501,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,1
CUST_00086,41,53.27808689607955,2769.7700112577973,Two year,Mailed check,No,No internet service,Yes,Yes,Yes,No,No,0
CUST_00087,28,75.74049643141872,2548.8430778402126,One year,Bank transfer,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,0
CUST_00088,7,90.70152942725908,7467.090696079241,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No internet service,No,No internet service,1
CUST_00089,12,86.2567917738785,2062.901342892262,Month-to-month,Credit card,No,No internet service,No,No,No,No internet service,No internet service,1
CUST_00090,34,100.77178199814796,5176.001499180994,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,1
CUST_00091,33,108.59139954974249,2273.5092832711275,One year,Bank transfer,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,0
CUST_00092,48,101.60790423433512,4106.436672859043,Month-to-month,Bank transfer,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,1
CUST_00093,23,21.89454033743546,6311.713851510595,Two year,Electronic check,Fiber optic,Yes,Yes,No,No,No internet service,No,0
CUST_00094,62,93.59179535519887,7065.607935778458,Month-to-month,Credit card,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,1
CUST_00095,37,40.83995736183316,6725.708198330897,One year,Bank transfer,No,Yes,No internet service,Yes,No internet service,Yes,Yes,0
CUST_00096,44,33.292804270798264,4699.227815542655,Two year,Bank transfer,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,0
CUST_00097,35,83.84887847991355,2065.648891171955,Two year,Credit card,No,No internet service,Yes,No,No,Yes,Yes,0
CUST_00098,65,51.97431954076949,5323.7437277687395,Month-to-month,Mailed check,Fiber optic,No internet service,No,No,No internet service,No,No,0
CUST_00099,47,25.711716337044326,5708.249861658903,Month-to-month,Credit card,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,0
CUST_00100,3,33.76297343983613,184.46672189666117,Two year,Electronic check,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,0
CUST_00101,1,20.092941686996106,3569.763036361809,Month-to-month,Electronic check,No,No,No,No internet service,Yes,No internet service,Yes,1
CUST_00102,5,110.32236273447073,6761.770138291938,One year,Electronic check,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,1
CUST_00103,14,22.46179838412386,3967.7420103200743,Two year,Bank transfer,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,0
CUST_00104,27,40.94557695095111,2559.8659930902368,Month-to-month,Mailed check,No,No,No internet service,Yes,No,No,Yes,0
CUST_00105,9,61.62627806879073,6987.202391094836,Two year,Electronic check,Fiber optic,No internet service,Yes,No,No,No internet service,No,0
CUST_00106,15,55.65713259508191,1331.457510485465,Month-to-month,Credit card,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,0
CUST_00107,42,111.17258769127757,1730.9173360879831,Month-to-month,Electronic check,No,No internet service,No internet service,Yes,Yes,No internet service,No,0
CUST_00108,51,24.02889457345421,5530.241698795454,One year,Bank transfer,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,0
CUST_00109,63,71.22147076770516,2884.243938059942,Month-to-month,Electronic check,No,Yes,Yes,Yes,No internet service,No,No internet service,0
CUST_00110,52,88.0479462524374,5732.833002296854,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,1
CUST_00111,4,113.16979736811687,1345.858607949986,Month-to-month,Electronic check,No,Yes,No internet service,Yes,No internet service,Yes,No,1
CUST_00112,23,82.0371252123721,2092.925807846683,One year,Mailed check,No,Yes,No internet service,Yes,No,No internet service,No internet service,0
CUST_00113,15,100.37552360117627,1337.5142890727047,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,No,Yes,Yes,1
CUST_00114,43,28.37249378453484,7627.991477151726,Month-to-month,Credit card,No,No,No internet service,No,Yes,Yes,No internet service,0
CUST_00115,29,58.59395109369274,3302.6912907223004,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,0
CUST_00116,36,57.394713447906746,2764.0372882907855,Two year,Bank transfer,No,No,Yes,Yes,No internet service,No,No,0
CUST_00117,13,108.62882164557176,212.19703374904114,One year,Bank transfer,No,Yes,Yes,No internet service,No,Yes,No internet service,0
CUST_00118,32,35.137117126327496,1311.9988773460104,Two year,Mailed check,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,0
CUST_00119,71,35.188617233663024,3426.973264315746,One year,Mailed check,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,0
CUST_00120,59,52.855814988579844,641.1720613179631,One year,Electronic check,Fiber optic,No internet service,No internet service,No,No,No,No internet service,0
CUST_00121,28,25.44660473668376,4134.840703099114,Two year,Electronic check,No,No,Yes,No,No internet service,No,No,0
CUST_00122,66,38.245804065249004,3694.6219638691377,One year,Credit card,No,No internet service,No,No,Yes,No,Yes,0
CUST_00123,42,116.52096385457352,6160.628308720381,One year,Electronic check,DSL,Yes,Yes,Yes,Yes,Yes,No,0
CUST_00124,45,62.81839398671728,5312.441341062501,Two year,Bank transfer,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,0
CUST_00125,62,83.20192084224365,3622.9837120325333,Month-to-month,Electronic check,DSL,No,Yes,No,No internet service,Yes,No,1
CUST_00126,57,92.6111259344637,1874.8195308300644,One year,Credit card,Fiber optic,No,No internet service,No,No,No internet service,No internet service,0
CUST_00127,6,56.69614070072005,5842.22217154067,Two year,Credit card,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,0
CUST_00128,28,34.722707441051696,5692.110617288213,One year,Mailed check,DSL,No,No,No,No internet service,No,No,0
CUST_00129,28,40.65810162217808,1311.0396680715605,Two year,Credit card,No,No internet service,No,No internet service,Yes,No internet service,Yes,0
CUST_00130,44,51.326647658061034,7326.539468260681,Month-to-month,Mailed check,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,0
CUST_00131,30,83.60684203522257,608.8004165188411,One year,Bank transfer,Fiber optic,No internet service,No internet service,No,No,No,No internet service,0
CUST_00132,62,59.82805490890544,534.797900252458,Month-to-month,Bank transfer,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,0
CUST_00133,62,20.681469790012812,1580.0682995331733,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,0
CUST_00134,1,72.34071850674718,7284.7403045852925,Two year,Credit card,DSL,No internet service,No,No internet service,No,No,Yes,0
CUST_00135,27,112.1513391907418,4207.9851798916825,One year,Bank transfer,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,0
CUST_00136,62,101.2077611008679,6324.733273315911,One year,Mailed check,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,0
CUST_00137,3,102.52113712596311,1899.961185804355,One year,Credit card,No,Yes,No internet service,No,Yes,No internet service,No,1
CUST_00138,70,99.50580176061311,3972.7535997645527,One year,Credit card,Fiber optic,Yes,No,Yes,Yes,No internet service,No,0
CUST_00139,27,52.37308256104237,2930.48676262867,One year,Mailed check,DSL,No internet service,No,No internet service,No internet service,No internet service,No,0
CUST_00140,9,96.5193833754392,6639.845995822922,Two year,Credit card,Fiber optic,No,No,No,No,No internet service,No,1
CUST_00141,62,34.3161357811193,278.57507093789036,One year,Credit card,DSL,No,No,No internet service,Yes,Yes,No internet service,0
CUST_00142,37,85.77161472759535,2026.3575667322323,Month-to-month,Bank transfer,Fiber optic,No internet service,No,No,No,No,No,1
CUST_00143,51,84.15685666849944,1305.3363719887923,Month-to-month,Mailed check,No,No,No internet service,No internet service,No,No internet service,Yes,1
CUST_00144,44,22.556979908973467,6887.5934059003985,One year,Bank transfer,No,No internet service,No internet service,No,No,No,No internet service,0
CUST_00145,24,98.79701335909316,3793.596412580749,Two year,Mailed check,Fiber optic,No,Yes,No internet service,No,No,Yes,0
CUST_00146,59,110.32481050951306,3293.338346756408,Two year,Electronic check,Fiber optic,No internet service,Yes,Yes,No,No,No,0
CUST_00147,32,46.74152784721076,3650.913820598531,One year,Credit card,Fiber optic,No,Yes,No,Yes,Yes,No internet service,0
CUST_00148,52,101.2390724186151,7778.203950548448,Month-to-month,Credit card,No,No,No internet service,No,No internet service,No,No internet service,1
CUST_00149,62,28.24059718619482,6817.1124152538005,One year,Bank transfer,No,Yes,Yes,No internet service,No internet service,No,No internet service,0
CUST_00150,58,79.9967858261066,5680.313297617429,One year,Credit card,DSL,No,Yes,No,No internet service,No,No,0
CUST_00151,52,68.56468653342772,2394.7837778637113,One year,Credit card,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,0
CUST_00152,12,74.59235333090001,1404.8666961957374,Two year,Bank transfer,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,0
CUST_00153,39,112.62052018843451,7379.325669293182,Two year,Bank transfer,No,No,No internet service,No internet service,Yes,No,Yes,0
CUST_00154,2,107.13152472468535,3442.2966300922144,Month-to-month,Mailed check,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,1
CUST_00155,3,98.5083657239757,2302.17081580217,Month-to-month,Electronic check,DSL,No,No,Yes,No,No internet service,No,1
CUST_00156,56,47.3698457678371,3820.27452869932,One year,Bank transfer,Fiber optic,No,Yes,Yes,No,No internet service,Yes,0
CUST_00157,59,111.18186286860916,7350.994640280782,Month-to-month,Mailed check,No,No,No internet service,No,Yes,No,No internet service,1
CUST_00158,2,29.750769246387527,3157.8317757912164,One year,Bank transfer,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,0
CUST_00159,2,105.33292165587878,4544.8638782599855,Month-to-month,Mailed check,No,No,No,Yes,No internet service,Yes,No internet service,1
CUST_00160,54,52.81600723536078,6443.433778757678,One year,Electronic check,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,0
CUST_00161,1,25.377231166198335,3474.3469952822907,Two year,Mailed check,DSL,No internet service,Yes,Yes,No internet service,No,Yes,0
CUST_00162,19,86.93569842407483,1944.9802352183096,One year,Mailed check,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,0
CUST_00163,2,43.12799283159555,7956.753412225964,Two year,Credit card,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,0
CUST_00164,53,44.35711258646319,7656.909773872061,Two year,Bank transfer,No,No,Yes,No,Yes,No,No internet service,0
CUST_00165,44,50.60471662287715,6763.485436091561,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,Yes,No,0
CUST_00166,32,26.368476750251673,5538.153647148788,Month-to-month,Bank transfer,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,0
CUST_00167,70,37.7127144198254,2429.438461750606,Two year,Mailed check,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,0
CUST_00168,32,20.51396275855603,7315.962211495853,One year,Credit card,DSL,Yes,No,No internet service,No,No,No,0
CUST_00169,68,64.54095211057867,2276.8976939577074,One year,Credit card,Fiber optic,No,Yes,Yes,No,Yes,No internet service,0
CUST_00170,55,28.42553774179713,6426.395007946977,Month-to-month,Electronic check,Fiber optic,No,No,No internet service,Yes,Yes,No,0
CUST_00171,56,88.2652605044199,7354.23952673632,One year,Mailed check,No,No internet service,No,Yes,Yes,Yes,Yes,0
CUST_00172,17,43.56228511916484,4863.730339396301,One year,Credit card,DSL,No,No,No internet service,No internet service,No internet service,No,0
CUST_00173,38,114.35741440351771,6444.144121340313,One year,Bank transfer,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,0
CUST_00174,24,107.12516273986526,6354.391283693798,Two year,Mailed check,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,0
CUST_00175,69,48.94408949682082,1625.946233855741,Two year,Mailed check,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,0
CUST_00176,70,98.32154546566787,5376.603341409069,One year,Electronic check,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,0
CUST_00177,11,100.32449046648063,838.3967015451041,Month-to-month,Bank transfer,No,No internet service,No,Yes,No internet service,Yes,No,1
CUST_00178,16,118.65631141144104,4112.016130786103,One year,Electronic check,No,Yes,No internet service,No,No,No internet service,No internet service,0
CUST_00179,59,79.7839986845685,1381.6608303105622,Month-to-month,Mailed check,DSL,Yes,Yes,No internet service,No,No,No,0
CUST_00180,70,28.196573464366217,3389.16104049181,Two year,Electronic check,No,No,No internet service,No internet service,Yes,Yes,No,0
CUST_00181,3,84.6837228926381,6680.558390117658,One year,Mailed check,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,1
CUST_00182,20,82.49797483760352,7898.625933078614,One year,Mailed check,No,No internet service,No,No internet service,Yes,No,No internet service,0
CUST_00183,59,83.83505774204318,2611.88267011098,Month-to-month,Electronic check,Fiber optic,No internet service,No,No internet service,No,No internet service,No,1
CUST_00184,36,50.71456481042115,4302.450020387095,Month-to-month,Electronic check,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,0
CUST_00185,19,105.96795850803329,4139.25439252686,One year,Mailed check,DSL,Yes,No,Yes,No,No internet service,Yes,0
CUST_00186,67,115.94721829554119,7639.771927665422,One year,Electronic check,Fiber optic,Yes,No internet service,No,No internet service,No,No,0
CUST_00187,19,41.771251297815155,3880.811486218911,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,0
CUST_00188,20,28.815215813664445,5622.939022657612,Two year,Mailed check,No,No internet service,Yes,No,Yes,Yes,No,0
CUST_00189,71,39.45350331684841,7382.134941557356,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,0
CUST_00190,52,102.05521392557188,3049.6906203410367,One year,Electronic check,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,0
CUST_00191,33,87.66446348198475,7226.765682138563,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,No,No internet service,No,0
CUST_00192,40,83.60473423391267,7347.904152939007,Two year,Credit card,No,No,No internet service,Yes,No,No,No,0
CUST_00193,39,60.17931351094245,7452.233781340333,Two year,Bank transfer,No,Yes,No,No internet service,No,No,No internet service,0
CUST_00194,1,77.78279715114357,2236.5248652242685,Two year,Electronic check,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,0
CUST_00195,11,50.78741252743674,3262.809194732672,One year,Mailed check,No,No internet service,No,Yes,Yes,Yes,Yes,0
CUST_00196,57,67.72000794179613,6976.127674983045,Two year,Credit card,No,No internet service,No,Yes,No internet service,No,No internet service,0
CUST_00197,50,99.30630283706559,2937.378411815308,Month-to-month,Credit card,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,1
CUST_00198,23,118.12415974554621,4841.99896017469,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,No,No internet service,1
CUST_00199,31,113.24889235898019,1032.6306073544106,Month-to-month,Electronic check,DSL,Yes,No,No internet service,No,No internet service,Yes,0
CUST_00200,42,113.38659428462488,544.572406078802,One year,Mailed check,DSL,No,No,Yes,Yes,Yes,No internet service,0
CUST_00201,7,60.22237348471124,3354.7525169881633,Two year,Credit card,No,Yes,No internet service,Yes,No,No,No internet service,1
CUST_00202,16,66.87898805067908,4673.440607482468,Month-to-month,Bank transfer,DSL,No,No internet service,Yes,Yes,Yes,No internet service,0
CUST_00203,60,90.56353963689816,3202.322995535637,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,1
CUST_00204,2,112.21919280512843,4664.1125842706515,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,1
CUST_00205,1,34.19942593520847,4169.166571757101,Two year,Bank transfer,Fiber optic,No internet service,No,No,No,Yes,No,0
CUST_00206,48,50.424186382719576,5517.08711136,Month-to-month,Credit card,DSL,No,No internet service,Yes,No,Yes,Yes,0
CUST_00207,12,33.924684459410955,5231.306205416579,Two year,Credit card,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,0
CUST_00208,69,81.20085299594552,3451.5410553319825,Two year,Bank transfer,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,0
CUST_00209,37,50.63009968875375,3457.46239931692,Two year,Electronic check,DSL,Yes,No internet service,Yes,Yes,No internet service,No,0
CUST_00210,32,52.61078525125735,1212.1488860966329,One year,Bank transfer,DSL,Yes,No internet service,No,Yes,Yes,Yes,0
CUST_00211,9,27.091595948797924,4154.584719562028,One year,Electronic check,DSL,No,Yes,No internet service,No,Yes,No internet service,0
CUST_00212,19,54.97960618075919,4738.715112272004,Two year,Electronic check,DSL,No,No,Yes,Yes,No,No internet service,0
CUST_00213,48,106.24965074015853,3864.2662390952273,Two year,Electronic check,No,Yes,No,No internet service,No internet service,No internet service,No internet service,0
